,Frequency,Word,Prop
0,2066,申请,0.06536319919007846
1,1117,到,0.03533915464439383
2,711,账,0.022494305239179953
3,616,优惠,0.019488737028600354
4,606,存,0.01917236142748671
5,582,存款,0.018413059984813972
6,520,游戏,0.01645153125790939
7,426,账号,0.013477600607441154
8,347,彩金,0.010978233358643381
9,332,提款,0.010503669956972918
10,309,微信,0.009776006074411541
11,302,pt,0.009554543153631991
12,296,生日,0.009364717792963807
13,243,密码,0.0076879271070615035
14,236,给,0.007466464186281954
15,229,转账,0.007245001265502405
16,228,注册,0.00721336370539104
17,226,钱,0.007150088585168312
18,221,账户,0.006991900784611491
19,202,用,0.006390787142495571
20,190,金,0.0060111364211592
21,187,礼金,0.005916223740825108
22,187,券,0.005916223740825108
23,181,转,0.005726398380156922
24,166,登录,0.005251834978486459
25,165,领取,0.005220197418375095
26,157,体验,0.004967096937484181
27,157,说,0.004967096937484181
28,155,码,0.004903821817261453
29,154,积分,0.0048721842571500884
30,151,玩,0.004777271576815996
31,150,上,0.004745634016704632
32,149,手机号,0.004713996456593267
33,146,客户端,0.0046190837762591745
34,144,进,0.004555808656036446
35,143,访客,0.0045241710959250826
36,142,成功,0.004492533535813718
37,141,不到,0.004460895975702353
38,139,想,0.004397620855479625
39,137,手机,0.004334345735256897
40,137,忘记,0.004334345735256897
41,132,活动,0.004176157934700076
42,131,卷,0.004144520374588712
43,122,传送,0.0038597823335864336
44,122,文件,0.0038597823335864336
45,122,锁,0.0038597823335864336
46,121,帐,0.0038281447734750695
47,120,领,0.0037965072133637054
48,118,去,0.003733232093140977
49,114,红包,0.00360668185269552
50,113,奖励,0.003575044292584156
51,113,百倍,0.003575044292584156
52,112,显示,0.003543406732472792
53,111,奖金,0.0035117691723614273
54,109,就,0.003448494052138699
55,108,还是,0.003416856492027335
56,107,打,0.0033852189319159708
57,105,png,0.003321943811693242
58,105,流水,0.003321943811693242
59,104,收到,0.003290306251581878
60,103,被,0.003258668691470514
61,99,查,0.003132118451025057
62,98,验证,0.0031004808909136927
63,98,发,0.0031004808909136927
64,93,请,0.0029422930903568716
65,89,看,0.0028157428499114147
66,87,支付宝,0.0027524677296886864
67,86,失败,0.0027208301695773223
68,85,充值,0.002689192609465958
69,85,下载,0.002689192609465958
70,84,回事,0.0026575550493545936
71,83,已,0.0026259174892432294
72,83,夏日,0.0026259174892432294
73,82,忘,0.0025942799291318653
74,81,怎么办,0.002562642369020501
75,81,提示,0.002562642369020501
76,81,银行卡,0.002562642369020501
77,80,服,0.002531004808909137
78,79,客,0.002499367248797773
79,79,一直,0.002499367248797773
80,79,投注,0.002499367248797773
81,78,邮箱,0.0024677296886864084
82,77,开,0.0024360921285750442
83,76,哪里,0.00240445456846368
84,76,亲,0.00240445456846368
85,75,平台,0.002372817008352316
86,75,修改,0.002372817008352316
87,74,炎炎,0.002341179448240952
88,72,dt,0.002277904328018223
