INDEX,넷,두,셋,여섯,하나,다섯
1,0.3779644730092273,0.7559289460184546,0.3779644730092273,0.0,0.3779644730092273,0.0
1,0.31622776601683794,0.31622776601683794,0.6324555320336759,0.0,0.6324555320336759,0.0
1,0.5,0.5,0.5,0.0,0.5,0.0
2,0.4082482904638631,0.4082482904638631,0.8164965809277261,0.0,0.0,0.0
2,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.0,0.0,0.0
2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
3,0.2672612419124244,0.0,0.0,0.8017837257372732,0.0,0.5345224838248488
3,0.5547001962252291,0.2773500981126146,0.0,0.5547001962252291,0.0,0.5547001962252291
3,0.37796447300922725,0.37796447300922725,0.0,0.7559289460184545,0.0,0.37796447300922725
4,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.0
4,0.0,0.0,0.0,0.8944271909999159,0.4472135954999579,0.0
4,0.0,0.0,0.0,0.4472135954999579,0.8944271909999159,0.0
4,0.5,0.5,0.5,0.0,0.0,0.5
4,0.37796447300922725,0.37796447300922725,0.7559289460184545,0.0,0.0,0.37796447300922725
4,0.7559289460184546,0.3779644730092273,0.3779644730092273,0.0,0.0,0.3779644730092273
